,ENTREZID,SYMBOL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,newPadj
11128,2707,GJB3,20.3043074241626,-0.967711729925274,0.490105950622401,-1.97449496113309,0.0483254898330172,0.0806177564036782,1
11129,91151,TIGD7,54.9479942115888,-0.619731359857398,0.313883065775537,-1.97440202237791,0.0483360482773965,0.080628124739113,1
11130,130617,ZFAND2B,201.741100300025,-0.312825343897501,0.158470425108747,-1.97402981460314,0.0483783529122197,0.0806914414611363,1
11131,10044,SH2D3C,4.43979023447897,1.95308091952372,0.989522292289099,1.97376141471819,0.0484088781766814,0.0807351014708394,1
11132,8111,GPR68,6.43745319847165,1.67133905864072,0.846896099458215,1.97348772737284,0.0484400214433062,0.0807769743464348,1
11133,7638,ZNF221,14.938536966114,1.10819178917219,0.561546407326445,1.97346430270716,0.0484426877504233,0.0807769743464348,1
11134,113402,SFT2D1,249.731992145068,-0.293991778494576,0.148992237723801,-1.97320198008955,0.0484725549813377,0.0808195177540464,1
11135,100616147,MIR4769,1.13134837588178,4.50455915727626,2.28387142229604,1.97233483168142,0.0485713958611812,0.080955233683513,1
11136,6997,TDGF1,1.13134837588178,4.50455915727626,2.28387142229604,1.97233483168142,0.0485713958611812,0.080955233683513,1
11137,728409,LINC01548,1.13134837588178,4.50455915727626,2.28387142229604,1.97233483168142,0.0485713958611812,0.080955233683513,1
11138,7305,TYROBP,1.13134837588178,4.50455915727626,2.28387142229604,1.97233483168142,0.0485713958611812,0.080955233683513,1
11139,100616480,MIR4479,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11140,127534,GJB4,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11141,1524,CX3CR1,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11142,199920,FYB2,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11143,389421,LIN28B,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11144,390201,OR10V1,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11145,7216,TRO,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11146,84839,RAX2,1.13048601868175,4.50376390902211,2.28436071368241,1.97156424641974,0.0486593720796056,0.0810436554177102,1
11147,100532732,MSH5-SAPCD1,7.04745822495101,-1.86705408331534,0.947066895201425,-1.97140676416342,0.0486773679785437,0.0810663549971908,1
11148,84144,SYDE2,55.109343548372,0.557782549483486,0.282949375407346,1.97131571214984,0.0486877752735555,0.081076413722487,1
11149,731275,LINC01347,4.75565589070666,1.91774889788229,0.972901635446241,1.97116422463682,0.0487050945191083,0.0810904053192272,1
11150,85002,FAM86B1,5.93959361654499,-2.00183745938584,1.01557377936094,-1.97113936975167,0.0487079366192413,0.0810904053192272,1
11151,5210,PFKFB4,216.042899413057,0.32109130946514,0.162897271913238,1.97112760510906,0.0487092819281783,0.0810904053192272,1
11152,84279,PRADC1,182.128634661898,-0.344051746013222,0.174559074679894,-1.97097599562867,0.0487266215481882,0.0811119980649718,1
11153,5211,PFKL,795.88899771436,0.216603287495145,0.109918861411355,1.97057433741549,0.0487725843677493,0.0811792804357478,1
11154,53635,PTOV1,1273.28516930013,-0.205320402325353,0.104194656610733,-1.97054636968977,0.0487757861441678,0.0811792804357478,1
11155,23394,ADNP,789.26168808552,0.226687703050294,0.115085878500826,1.96972648602293,0.0488697257811622,0.0813283361184667,1
11156,11259,FILIP1L,5.29969360576627,1.79970622105251,0.913790946718803,1.96949447520225,0.0488963363894099,0.0813653270646294,1
11157,23324,MAN2B2,284.488122418059,0.272838852887512,0.138624392290419,1.96818790964228,0.0490464208633239,0.0816077580807336,1
11158,317760,ADAM20P1,6.80546619916129,1.62762728914103,0.827007755922914,1.96809192838179,0.0490574614065751,0.0816188128295089,1
